City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,college,64.8569,-147.8028,2.180000000000007,74,75,4.63,US,2024-02-13
72,weno,7.4515,151.8468,27.970000000000027,74,75,6.69,FM,2024-02-13
73,katsuura,35.1333,140.3,14.010000000000048,70,0,5.71,JP,2024-02-13
74,portland,45.5234,-122.6762,4.890000000000043,96,100,2.57,US,2024-02-13
75,at taj,24.2049,23.2857,24.930000000000007,20,0,7.59,LY,2024-02-13
76,kirakira,-10.4544,161.9205,26.170000000000016,88,42,3.92,SB,2024-02-13
77,qaqortoq,60.7167,-46.0333,0.010000000000047748,97,100,5.0,GL,2024-02-13
78,dryden,49.7833,-92.7503,-18.839999999999975,84,20,2.06,CA,2024-02-13
79,hasaki,35.7333,140.8333,11.220000000000027,56,0,8.52,JP,2024-02-13
80,zapolyarnyy,69.4154,30.8136,-17.399999999999977,90,100,5.07,RU,2024-02-13
81,isafjordur,66.0755,-23.124,-0.9799999999999613,74,75,1.54,IS,2024-02-13
82,ust-nera,64.5667,143.2,-41.62999999999997,98,69,0.77,RU,2024-02-13
83,saipan,15.1355,145.701,24.390000000000043,88,75,9.77,MP,2024-02-13
84,gizo,-8.103,156.8419,28.340000000000032,75,20,5.21,SB,2024-02-13
85,nuriootpa,-34.4833,139.0,17.03000000000003,71,0,5.19,AU,2024-02-13
86,invercargill,-46.4,168.35,11.850000000000023,87,3,2.73,NZ,2024-02-13
87,koubia,11.5833,-11.9,37.02000000000004,6,0,3.15,GN,2024-02-13
88,nadi,-17.8,177.4167,27.0,94,75,2.57,FJ,2024-02-13
89,avarua,-21.2078,-159.775,23.03000000000003,94,76,0.51,CK,2024-02-13
90,ghanzi,-21.5667,21.7833,34.80000000000001,20,7,3.9,BW,2024-02-13
91,kingston,17.997,-76.7936,26.25,92,75,3.6,JM,2024-02-13
92,ha giang,22.8333,104.9833,16.480000000000018,97,46,0.46,VN,2024-02-13
93,lebu,-37.6167,-73.65,18.27000000000004,59,5,5.89,CL,2024-02-13
94,labytnangi,66.6572,66.4183,-35.369999999999976,96,8,2.04,RU,2024-02-13
95,badger,64.8,-147.5333,2.140000000000043,77,40,4.63,US,2024-02-13
96,luderitz,-26.6481,15.1594,24.55000000000001,61,81,10.17,NA,2024-02-13
97,nieuw amsterdam,5.8833,-55.0833,30.010000000000048,66,40,3.09,SR,2024-02-13
98,mata-utu,-13.2816,-176.1745,27.510000000000048,85,100,7.29,WF,2024-02-13
99,bardai,11.65,7.2333,36.03000000000003,5,1,5.34,NG,2024-02-13
100,punta arenas,-53.15,-70.9167,13.060000000000002,62,75,10.29,CL,2024-02-13
101,jining,35.405,116.5814,11.740000000000009,57,0,3.4,CN,2024-02-13
102,port mathurin,-19.6833,63.4167,27.58000000000004,82,47,8.88,MU,2024-02-13
103,sassandra,4.95,-6.0833,33.77000000000004,53,34,4.03,CI,2024-02-13
104,mandan,46.8267,-100.8896,-1.009999999999991,94,100,4.63,US,2024-02-13
105,sept-iles,50.2001,-66.3821,-7.75,74,20,4.12,CA,2024-02-13
106,ilulissat,69.2167,-51.1,-20.98999999999998,54,40,2.06,GL,2024-02-13
107,rio grande,-32.035,-52.0986,23.060000000000002,73,100,9.12,BR,2024-02-13
108,puerto baquerizo moreno,-0.9,-89.6,26.480000000000018,81,60,5.28,EC,2024-02-13
109,berwick-upon-tweed,55.7833,-2.0,10.010000000000048,68,51,5.43,GB,2024-02-13
110,tadine,-21.55,167.8833,25.650000000000034,86,14,8.17,NC,2024-02-13
111,waingapu,-9.6567,120.2641,26.650000000000034,86,100,2.61,ID,2024-02-13
112,masterton,-40.9597,175.6575,12.710000000000036,97,21,1.89,NZ,2024-02-13
113,westport,41.1415,-73.3579,1.2900000000000205,87,100,7.72,US,2024-02-13
114,zavetnoye,47.1194,43.8903,10.640000000000043,69,100,3.18,RU,2024-02-13
115,nova sintra,14.8667,-24.7167,19.930000000000007,78,2,6.03,CV,2024-02-13
116,tarauaca,-8.1614,-70.7656,22.99000000000001,100,100,1.27,BR,2024-02-13
117,huayin,34.5675,110.0921,13.03000000000003,57,0,0.16,CN,2024-02-13
118,la passe,45.5549,-0.8967,12.129999999999995,72,85,3.9,FR,2024-02-13
119,debark',13.1561,37.8981,20.77000000000004,12,95,4.83,ET,2024-02-13
120,arraial do cabo,-22.9661,-42.0278,30.980000000000018,66,0,5.66,BR,2024-02-13
121,egilsstadir,65.2653,-14.3948,0.9500000000000455,86,100,5.14,IS,2024-02-13
122,enoch,37.7733,-113.0244,-3.6200000000000045,93,0,1.54,US,2024-02-13
123,vidigueira,38.1845,-7.7447,20.420000000000016,77,100,1.22,PT,2024-02-13
124,villa union,23.2,-106.2333,15.510000000000048,87,75,1.54,MX,2024-02-13
125,aral,40.5156,81.2636,2.6200000000000045,52,6,4.74,CN,2024-02-13
126,yuncheng,35.0231,110.9928,10.850000000000023,57,6,1.45,CN,2024-02-13
127,tazovsky,67.4667,78.7,-38.66999999999999,100,19,1.09,RU,2024-02-13
128,palopo,-2.9996,120.1921,26.310000000000002,98,100,1.06,ID,2024-02-13
129,nemuro,43.3236,145.575,1.2600000000000477,88,0,6.26,JP,2024-02-13
130,khanpur,28.6453,70.6567,18.120000000000005,16,100,2.25,PK,2024-02-13
131,blackmans bay,-43.0167,147.3167,15.07000000000005,69,97,6.74,AU,2024-02-13
132,padre paraiso,-17.0742,-41.4844,26.200000000000045,54,41,2.76,BR,2024-02-13
133,illizi,26.4833,8.4667,23.890000000000043,20,0,7.1,DZ,2024-02-13
134,makurazaki,31.2667,130.3167,15.810000000000002,63,93,4.47,JP,2024-02-13
135,sumbawa besar,-8.5,117.4333,25.5,91,97,0.67,ID,2024-02-13
136,fort mcmurray,56.7268,-111.381,-10.229999999999961,85,75,4.12,CA,2024-02-13
137,udachny,66.4167,112.4,-32.039999999999964,100,100,2.97,RU,2024-02-13
138,ghat,24.9647,10.1728,27.220000000000027,17,0,8.65,LY,2024-02-13
139,ritchie,-29.038,24.6028,39.56,12,97,5.43,ZA,2024-02-13
140,swift current,50.2834,-107.8014,-10.549999999999955,85,0,5.66,CA,2024-02-13
141,anadyr,64.75,177.4833,-28.71999999999997,74,40,5.0,RU,2024-02-13
142,aldinga beach,-35.2793,138.4604,18.200000000000045,66,8,6.42,AU,2024-02-13
143,alaghsas,17.0187,8.0168,34.94,8,0,7.2,NE,2024-02-13
144,afaahiti,-17.75,-149.2833,25.930000000000007,85,100,9.24,PF,2024-02-13
145,evanston,42.0411,-87.6901,-0.2999999999999545,77,20,3.09,US,2024-02-13
146,usogorsk,63.4106,48.6872,-24.399999999999977,97,7,2.34,RU,2024-02-13
147,dakhla,23.6848,-15.958,26.010000000000048,36,97,1.54,EH,2024-02-13
148,edinburgh of the seven seas,-37.0676,-12.3116,18.060000000000002,72,90,4.71,SH,2024-02-13
